k,iterations_min,iterations_max,avg_utility_min,avg_utility_max,max_utility_min,max_utility_max,time_min,time_max
25,4,10,83.46560330153267,93.04396505317037,90.32507309969478,99.96465656498957,0.16400933265686035,0.4049966335296631
50,4,9,86.92427155847406,92.91611906751197,93.77735527767732,99.84643260542678,0.16398882865905762,0.37100982666015625
75,6,8,91.29064469181652,92.9912773700131,98.22095799335692,99.91196888183231,0.24100446701049805,0.3260054588317871
100,6,8,91.66514088785367,92.90270765925305,98.59527125801586,99.77544128023108,0.24300432205200195,0.3380014896392822
125,5,7,90.4067881666293,92.46851424185148,97.32677339706729,99.3961484298276,0.20402169227600098,0.29402923583984375
