k,iterations,avg_utility,max_utility,execution_time
10,8,92.87688472685765,99.7361871738359,0.33383893966674805
25,5,91.28140064664457,98.20494467249597,0.2129223346710205
50,5,90.4862585411665,97.33127040380613,0.21598577499389648
75,5,86.91077816202696,93.9309177612341,0.2170088291168213
100,6,92.17035290244088,99.02342724478805,0.2660031318664551
125,5,88.65856955497996,95.76981329150655,0.2141129970550537
